date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
2000-09-10,2000,0,,SF,CAR,1392.749,1467.669,0.48572785052587564,0.5142721494741244,1365.35,1495.069,22,38
2000-09-10,2000,0,,BAL,JAX,1524.34,1613.772,0.4648973678218629,0.5351026321781371,1539.343,1598.77,39,36
2000-09-10,2000,0,,PHI,NYG,1482.85,1472.361,0.6069595496097545,0.3930404503902455,1447.997,1507.213,18,33
2000-09-10,2000,0,,TEN,KC,1602.335,1500.151,0.7235997607643329,0.27640023923566714,1609.457,1493.029,17,14
2000-09-10,2000,0,,MIN,MIA,1607.351,1534.479,0.6886155970730387,0.31138440292696135,1618.755,1523.075,13,7
2000-09-10,2000,0,,DET,WSH,1481.456,1546.456,0.5,0.5,1499.373,1528.539,15,10
2000-09-10,2000,0,,DEN,ATL,1534.549,1478.138,0.667943376427552,0.33205662357244803,1555.742,1456.945,42,14
2000-09-10,2000,0,,ARI,DAL,1415.706,1459.588,0.5303538732926971,0.4696461267073029,1422.155,1453.139,32,31
2000-09-10,2000,0,,IND,OAK,1580.578,1538.026,0.6500181705253429,0.34998182947465706,1552.155,1566.449,31,38
2000-09-10,2000,0,,SEA,LAR,1484.919,1631.733,0.3843892290366925,0.6156107709633075,1474.643,1642.009,34,37
2000-09-10,2000,0,,LAC,NO,1462.118,1372.744,0.7086111251764472,0.2913888748235528,1451.553,1383.309,27,28
2000-09-10,2000,0,,CIN,CLE,1377.026,1287.84,0.7083876174733689,0.29161238252663113,1332.99,1331.876,7,24
2000-09-11,2000,0,,NYJ,NE,1583.606,1482.365,0.7225127581009915,0.27748724189900853,1587.183,1478.788,20,19
2000-09-17,2000,0,,NE,MIN,1478.788,1618.755,0.39375752191320196,0.6062424780867981,1462.055,1635.488,13,21
2000-09-17,2000,0,,KC,LAC,1493.029,1451.553,0.6486077737398457,0.3513922262601543,1516.467,1428.115,42,10
2000-09-17,2000,0,,SEA,NO,1474.643,1383.309,0.7109352910070101,0.28906470899298986,1487.586,1370.366,20,10
2000-09-17,2000,0,,OAK,DEN,1566.449,1555.742,0.6072588800211236,0.3927411199788764,1537.487,1584.704,24,33
2000-09-17,2000,0,,NYJ,BUF,1587.183,1603.874,0.5690776444335317,0.4309223555664683,1609.439,1581.618,27,14
2000-09-17,2000,0,,MIA,BAL,1523.075,1539.343,0.5696746705880186,0.4303253294119814,1545.296,1517.122,19,6
2000-09-17,2000,0,,JAX,CIN,1598.77,1332.99,0.8703574275739053,0.12964257242609467,1604.718,1327.042,13,0
2000-09-17,2000,0,,GB,PHI,1504.466,1447.997,0.6680174240521122,0.3319825759478878,1513.189,1439.274,6,3
2000-09-17,2000,0,,DET,TB,1499.373,1606.072,0.44027680401856034,0.5597231959814397,1472.661,1632.784,10,31
2000-09-17,2000,0,,CLE,PIT,1331.876,1419.995,0.46677810352740945,0.5332218964725906,1346.817,1405.054,23,20
2000-09-17,2000,0,,CHI,NYG,1415.003,1507.213,0.4609215255744283,0.5390784744255717,1396.068,1526.148,7,14
2000-09-17,2000,0,,CAR,ATL,1495.069,1456.945,0.6441974789917907,0.3558025210082093,1470.849,1481.165,10,15
2000-09-17,2000,0,,LAR,SF,1642.009,1365.35,0.8772613119071933,0.12273868809280675,1648.15,1359.208,41,24
2000-09-18,2000,0,,WSH,DAL,1528.539,1453.139,0.69172737371591,0.30827262628409,1499.783,1481.895,21,27
2000-09-24,2000,0,,BAL,CIN,1517.122,1327.042,0.8128077599958016,0.18719224000419843,1529.326,1314.838,37,0
2000-09-24,2000,0,,OAK,CLE,1537.487,1346.817,0.8133239645454308,0.18667603545456923,1548.511,1335.794,36,10
2000-09-24,2000,0,,PIT,TEN,1405.054,1609.457,0.30949780016763073,0.6905021998323693,1396.985,1617.527,20,23
2000-09-24,2000,0,,ATL,LAR,1481.165,1648.15,0.3573067595170801,0.64269324048292,1460.055,1669.26,20,41
2000-09-24,2000,0,,NO,PHI,1370.366,1439.274,0.4943761730846153,0.5056238269153848,1343.637,1466.003,7,21
2000-09-24,2000,0,,LAC,SEA,1428.115,1487.586,0.5079561989950505,0.4920438010049495,1405.737,1509.964,12,20
2000-09-24,2000,0,,TB,NYJ,1632.784,1609.439,0.6244676013653312,0.3755323986346688,1611.842,1630.381,17,21
2000-09-24,2000,0,,MIA,NE,1545.296,1462.055,0.7012681083811325,0.2987318916188675,1556.936,1450.415,10,3
2000-09-24,2000,0,,DEN,KC,1584.704,1516.467,0.6828659080754255,0.31713409192457453,1574.627,1526.544,22,23
2000-09-24,2000,0,,DAL,SF,1481.895,1359.208,0.7465721735861122,0.25342782641388784,1434.713,1406.391,24,41
2000-09-24,2000,0,,ARI,GB,1422.155,1513.189,0.46260402625030556,0.5373959737496945,1392.018,1543.326,3,29
2000-09-24,2000,0,,CHI,DET,1396.068,1472.661,0.48332252087859146,0.5166774791214086,1376.073,1492.657,14,21
2000-09-24,2000,0,,NYG,WSH,1526.148,1499.783,0.6285355019781212,0.37146449802187875,1494.699,1531.232,6,16
2000-09-25,2000,0,,IND,JAX,1552.155,1604.718,0.5178906407507066,0.48210935924929343,1584.765,1572.107,43,14
2000-10-01,2000,0,,CIN,MIA,1314.838,1556.936,0.26513298179920836,0.7348670182007917,1301.231,1570.543,16,31
2000-10-01,2000,0,,WSH,TB,1531.232,1611.842,0.47755050791032255,0.5224494920896774,1545.821,1597.253,20,17
2000-10-01,2000,0,,SF,ARI,1406.391,1392.018,0.6122803446631667,0.3877196553368333,1421.954,1376.455,27,20
2000-10-01,2000,0,,PHI,ATL,1466.003,1460.055,0.6007064498425154,0.3992935501574846,1492.053,1434.004,38,10
2000-10-01,2000,0,,TEN,NYG,1617.527,1494.699,0.7467257109131886,0.2532742890868114,1630.165,1482.06,28,14
2000-10-01,2000,0,,GB,CHI,1543.326,1376.073,0.7919888680572906,0.20801113194270937,1518.775,1400.623,24,27
2000-10-01,2000,0,,DET,MIN,1492.657,1635.488,0.38982895561174197,0.610171044388258,1476.998,1651.146,24,31
2000-10-01,2000,0,,DEN,NE,1574.627,1450.415,0.7482295067281144,0.2517704932718856,1536.928,1488.115,19,28
2000-10-01,2000,0,,CLE,BAL,1335.794,1529.326,0.3230282708181472,0.6769717291818528,1320.137,1544.982,0,12
2000-10-01,2000,0,,CAR,DAL,1470.849,1434.713,0.6415701610885214,0.3584298389114786,1452.204,1453.358,13,16
2000-10-01,2000,0,,BUF,IND,1581.618,1584.765,0.5880850027865129,0.4119149972134871,1568.323,1598.061,16,18
2000-10-01,2000,0,,JAX,PIT,1572.107,1396.985,0.7993526534001455,0.2006473465998545,1527.514,1441.578,13,24
2000-10-01,2000,0,,LAR,LAC,1669.26,1405.737,0.8688843650412273,0.13111563495877265,1676.78,1398.217,57,31
2000-10-02,2000,0,,KC,SEA,1526.544,1509.964,0.6152919722599801,0.3847080277400199,1541.971,1494.537,24,17
2000-10-08,2000,0,,CIN,TEN,1301.231,1630.165,0.17956075618032993,0.82043924381967,1293.848,1637.549,14,23
2000-10-08,2000,0,,CHI,NO,1400.623,1343.637,0.6686771018879292,0.33132289811207083,1356.858,1387.402,10,31
2000-10-08,2000,0,,CAR,SEA,1452.204,1494.537,0.5325742322904505,0.46742576770954947,1481.611,1465.13,26,3
2000-10-08,2000,0,,ATL,NYG,1434.004,1482.06,0.5243650626467554,0.4756349373532446,1412.027,1504.037,6,13
2000-10-08,2000,0,,LAC,DEN,1398.217,1536.928,0.3954847607692488,0.6045152392307511,1377.491,1557.653,7,21
2000-10-08,2000,0,,PHI,WSH,1492.053,1545.821,0.5161585185553529,0.4838414814446471,1477.669,1560.205,14,17
2000-10-08,2000,0,,DET,GB,1476.998,1518.775,0.5333709007845606,0.4666290992154394,1496.202,1499.571,31,24
2000-10-08,2000,0,,ARI,CLE,1376.455,1320.137,0.6678246275592776,0.33217537244072237,1390.289,1306.303,29,21
2000-10-08,2000,0,,SF,OAK,1421.954,1548.511,0.41232781670983526,0.5876721832901648,1406.344,1564.121,28,34
2000-10-08,2000,0,,NYJ,PIT,1630.381,1441.578,0.8116867225858002,0.1883132774141998,1577.34,1494.619,3,20
2000-10-08,2000,0,,NE,IND,1488.115,1598.061,0.435675934313497,0.564324065686503,1513.431,1572.744,24,16
2000-10-08,2000,0,,MIA,BUF,1570.543,1568.323,0.5955481202511178,0.4044518797488822,1588.616,1550.249,22,13
2000-10-08,2000,0,,JAX,BAL,1527.514,1544.982,0.5679804571983162,0.43201954280168375,1506.711,1565.785,10,15
2000-10-09,2000,0,,MIN,TB,1651.146,1597.253,0.6647207193960409,0.33527928060395906,1664.375,1584.024,30,23
2000-10-15,2000,0,,KC,OAK,1541.971,1564.121,0.5613553334085812,0.43864466659141876,1526.098,1579.994,17,20
2000-10-15,2000,0,,BUF,LAC,1550.249,1377.491,0.7971611554462729,0.20283884455372714,1555.325,1372.416,27,24
2000-10-15,2000,0,,CHI,MIN,1356.858,1664.375,0.19844524414639894,0.801554755853601,1347.689,1673.545,16,28
2000-10-15,2000,0,,ARI,PHI,1390.289,1477.669,0.4678370629349644,0.5321629370650356,1362.541,1505.417,14,33
2000-10-15,2000,0,,NO,CAR,1387.402,1481.611,0.458063622919031,0.541936377080969,1419.746,1449.267,24,6
2000-10-15,2000,0,,GB,SF,1499.571,1406.344,0.7131695322503177,0.28683046774968235,1506.99,1398.925,31,28
2000-10-15,2000,0,,WSH,BAL,1560.205,1565.785,0.5846881672920944,0.4153118327079056,1577.023,1548.967,10,3
2000-10-15,2000,0,,SEA,IND,1465.13,1572.744,0.4389792115896311,0.5610207884103688,1442.4,1595.474,24,37
2000-10-15,2000,0,,PIT,CIN,1494.619,1293.848,0.8219918079283779,0.1780081920716221,1503.426,1285.041,15,0
2000-10-15,2000,0,,DEN,CLE,1557.653,1306.303,0.8606929085750628,0.13930709142493725,1566.313,1297.642,44,10
2000-10-15,2000,0,,LAR,ATL,1676.78,1412.027,0.8696888957458998,0.1303111042541002,1683.202,1405.606,45,29
